Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Index Keywords
Bella G.; Massidda C.,"Bella, Giovanni (55589449200); Massidda, Carla (6508042222)",55589449200; 6508042222,The trade-off between tourism and pollution for Japanese economic growth,2021,Tourism,69,3,,381,394,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115415824&doi=10.37741%2fT.69.3.4&partnerID=40&md5=4672ffd360f2a86c09e2d8afe64334ba,"This paper proposes a vector error correction model to investigate the relationship between polluting emissions and GDP levels in Japan, in the period 1970-2014, and tests the validity of the Environmental Kuznets Curve (EKC) hypothesis driven by tourist arrivals. Our results validate the existence of two different causality channels among the selected variables. In particular, we find that a trade-off might exist between increasing the number of tourists, which drives economic growth, and the pattern of a sustainable development, due to the increase of polluting emissions. The analysis allows us to propose appropriate policy strategies to promote a robust and sustainable long run economic growth. ©2021 The Author(s)",
Kim S.-E.; Seok J.H.,"Kim, Soo-Eun (57321961800); Seok, Jun Ho (57199173990)",57321961800; 57199173990,Does Commodity Trade Openness Beneficial to the Tourism Sector in Korea?,2023,Journal of Global Business and Trade,19,1,,157,172,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150078511&doi=10.20294%2fjgbt.2023.19.1.157&partnerID=40&md5=fa70f861987a5db521b0c26b976a98a8,"Purpose – Recently, trade openness has expanded in the world level as well as high t rade dependent countries like Korea. In turn, a rise of trade openness is expected to affect on the tourism industry. This study investigates the causal relationship between trade openness, outbound tourism expenses, and inbound tourism receipts to explore whether or not trade openness benefits the tourism sector of Korea. Design/Methodology/Approach – We utilized the vector error correction (VECM) model, directed acrylic graph (DAG), and Impulse Response Function (IRF) methods to examine those relationships. While VECM allows to figure out the predictive causation, DAG can test the contemporaneous relationship. IRF allows to find the different effect of trade openness on outbound tourism expenses and inbound tourism receipts. Findings – Our results for VECM and DAG demonstrate that there are causalities of trade openness on inbound tourism receipts and outbound tourism expenses. To evaluate the effect of trade openness on domestic tourism sector in terms of economics and sustainability, we perform the IRF. Results of IRF show that trade openness has a positive and negative effect on outbound tourism expenses and inbound tourism receipts, re-spectively. Research Implications – These results indicate that trade openness is not beneficial to the tourism sector of Korea, which implies trade openness’s effect on domestic tourism is not sustainable in terms of economic sense. © 2023 International Academy of Global Business and Trade. All rights reserved.",
Akadiri S.S.; Alola A.A.; Akadiri A.C.,"Akadiri, Seyi Saint (57195961312); Alola, Andrew Adewale (57202608331); Akadiri, Ada Chigozie (57195961273)",57195961312; 57202608331; 57195961273,"The role of globalization, real income, tourism in environmental sustainability target. Evidence from Turkey",2019,Science of the Total Environment,687,,,423,432,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067226270&doi=10.1016%2fj.scitotenv.2019.06.139&partnerID=40&md5=6645a32eabe60101ffa3c94f44544ce9,"In this study, we examine the role of real income, globalization and tourism on environmental sustainability target by applying Autoregressive Distributed Lag (ARDL) bounds testing approach that controls for structural breaks and Vector Error Correction Model (VECM) Granger causality approach that produces robust, efficient and reliable short-run and long-run estimates in the case of Turkey over the periods 1970–2014. To achieve our research objective, we examine stationarity properties of the series via unit root test after which we applied Bayer-Hanck combined cointegration technique to evaluate the presence of a long-run cointegration relationship among the series. The empirical results show that a 1% increase in real income level and international tourists' arrivals led to 0.625% and 0.129% increase in metric ton per capita CO2 emissions in the short-run and 0.345% and 0.071% increase in metric tons per capita CO2 emissions in the long-run, while globalization has non-significant negative impacts on CO2 emissions. The causality analysis suggest that tourism Granger causes CO2 emissions both in the short- and long-run, while real income and globalization only Granger cause CO2 emissions in the long-run. Findings also show that a one standard deviation shock to CO2 emissions has a noticeable positive and persistent impact on tourism, globalization and economic growth in the long-run. © 2019 Elsevier B.V.",Turkey; Carbon dioxide; Economic analysis; Error correction; Time series; CO2 emissions; Globalization; Long-run; Real income; Short-run; Tourism; Turkey; carbon dioxide; carbon emission; economic growth; environmental economics; globalization; income; sustainability; time series analysis; tourism; Article; Autoregressive Distributed Lag; causality; chromatography by stationary phase; controlled study; country economic status; economic development; environmental sustainability; greenhouse effect; priority journal; tourism; Turkey (republic); Vector Error Correction Model; Sustainable development
Ali W.; Sadiq F.; Kumail T.; Li H.; Zahid M.; Sohag K.,"Ali, Wajahat (57214276640); Sadiq, Farah (57211524130); Kumail, Tafazal (57211515598); Li, Hui (57060906400); Zahid, Muhammad (57188691578); Sohag, Kazi (56210712000)",57214276640; 57211524130; 57211515598; 57060906400; 57188691578; 56210712000,"A cointegration analysis of structural change, international tourism and energy consumption on CO2 emission in Pakistan",2020,Current Issues in Tourism,23,23,,3001,3015,14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089555017&doi=10.1080%2f13683500.2020.1804338&partnerID=40&md5=549cbc374a02acb4f07bc4cc32b9e73a,"This study aims to inspect the impact of tourist’s arrivals, structural change, economic growth and energy use on carbon dioxide emissions in Pakistan over the period 1981–2017. The study based on unit root tests employed Autoregressive Distributed Lagged (ARDL) bounds and Bayer and Hanck [2013. Combining non-cointegration tests. Journal of Time Series Analysis, 34(1), 83–95. https://doi.org/10.1111/j.1467-9892.2012.00814.x] combined cointegration test and confirms the presence of long-run relationship between the variables. To estimate the short and long-run results the study employed ARDL model and found that structural changes, international tourism and energy consumption are at the cost of environmental quality. The study further applied VECM based Granger causality test and revealed unidirectional causality from international tourist’s arrivals, GDP and energy consumption towards CO2 emissions. This study suggests that the tourism in Pakistan should be on environmentally sustainable basis and the composition of economic activities should be more services oriented. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",Pakistan; carbon dioxide; carbon emission; economic growth; environmental quality; fuel consumption; time series analysis; tourist behavior; vector autoregression
Seetanah B.; Fauzel S.,"Seetanah, Boopen (15766107800); Fauzel, Sheereen (57190415107)",15766107800; 57190415107,An empirical analysis of the impact of foreign direct investment on tourism development: The mauritian case,2019,Tourism Analysis,24,4,,517,529,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083262136&doi=10.3727%2f108354219X15652651367514&partnerID=40&md5=19d9a03c9bc641cc890b2b129b2801cf,"This article investigates the link between foreign direct investment (FDI) and tourism development for the case of the small island economy of Mauritius for the period 1980-2015. The research employs a dynamic time series econometrics framework, namely a vector error collection model (VECM), to account for potential dynamic and endogenous relationship in the FDI-tourism nexus. Analysis of the finding shows that FDI has a positive and significant effect, albeit relatively lower compared to the other classical factors of tourism development, in the long run. Interestingly, a bicausal effect is obseived in the long run while an indirect link between FDI and tourism development via the economic growth channel is found. © 2019 Cognizant. LLC.",
Ghosh B.; Chakraborty S.,"Ghosh, Bidyut (57221415887); Chakraborty, Suman (57218690815)",57221415887; 57218690815,Implications of paradigm shift in tourism policy: An evidence of Bhutan,2020,Prabandhan: Indian Journal of Management,13,12,,23,35,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099104435&doi=10.17010%2fpijom%2f2020%2fvl3il2%2f156587&partnerID=40&md5=23c70ba1e7cee69601c15a348304d9b5,"The study intended to examine the impact of major changes in the tourism policy of Bhutan adopted in 2005 as a ‘Sustainable Tourism Development Policy.' A genuine effort was made to investigate the possible presence of a long-run relationship between tourism and economic growth using the Johansen method of cointegration and vector error correction mechanism. The international tourists’ arrival and GDP per capita were used as proxies for tourism expansion and economic growth, respectively. The findings confirmed that tourism has expanded significantly after Bhutan’s policy shift from a more restrictive regime to a more pragmatic ‘Sustainable Tourism Development Policy.' We obtained concrete evidence of a long-run relationship between tourism expansion and economic growth. However, in the short-run, there was no such strong evidence. The move from a restrictive tourism regime to a more open tourism regime is found to be economically beneficial for a small land-locked economy and provides better economic and social integration with the neighboring countries over a long-run period. The study is a novel attempt to apply time series cointegration and vector error correction method for examining the impact of tourism policy change on Bhutan’s economic growth. © 2020, Associated Management Consultants Pvt. Ltd.. All rights reserved.",
Fauzel S.; Seetanah B.,"Fauzel, Sheereen (57190415107); Seetanah, Boopen (15766107800)",57190415107; 15766107800,Does financial development spur tourism growth? A dynamic time series analysis for the case of an SIDS,2023,"Journal of Policy Research in Tourism, Leisure and Events",15,1,,52,68,16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105160850&doi=10.1080%2f19407963.2021.1919128&partnerID=40&md5=bbb9f2571580d9bff2fd894061a2acf2,"This paper examines the interactions between financial development and tourism growth for the case of Mauritius, a heavily tourism-dependent small island economy and one of the Africa’s best economic performers. Using dynamic regressions analysis over the period 1980–2018, namely, a Vector Error Correction Model which also accounts for endogeneity issues in tourism modelling, the results confirm that financial development is associated with tourism growth in the long run. The findings also show that economic growth, income of tourists as well as the availability of hotel rooms are important determinants of tourism. Moreover, it is observed that tourism development also leads to financial development thus confirming a bi-directional causality between these two variables. The bi-directional causality was also confirmed for the financial development–economic growth nexus as well as the tourism-growth nexus. Finally, evidence of the mediating role of economic development in the financial development–tourism development link is reported. © 2021 Informa UK Limited, trading as Taylor & Francis Group.",
Surugiu C.; Surugiu M.R.,"Surugiu, Camelia (38562221400); Surugiu, Marius Razvan (38562391500)",38562221400; 38562391500,Is the tourism sector supportive of economic growth? Empirical evidence on Romanian tourism,2013,Tourism Economics,19,1,,115,132,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877281103&doi=10.5367%2fte.2013.0196&partnerID=40&md5=ea3348138d2638cfbe3cbfee100dfeec,"This paper studies the long-run relationships between tourism expansion and economic growth in Romania during the period 1988- 2009. The empirical evidence highlights the nature of causal relationships, if any, between domestic travel and tourism spending, internal travel and tourism consumption, the gross domestic product annual growth rate and the real exchange rate. The paper uses the cointegration method and Granger causality analysis based on the vector error correction model (VECM) and impulse functions. The findings suggest that there are Granger causality relationships running from tourism expansion to economic growth, which sustains the tourism-led growth hypothesis (TLGH). These results emphasize the need for more consistent tourism development plans and strategies to be implemented at national and regional levels by the governmental authorities.",Romania; cointegration analysis; economic growth; error correction; Granger causality test; real exchange rate; tourism development; tourism economics; tourism management
Sihabutr C.; Nonthapot S.,"Sihabutr, Chaturaporn (57222050471); Nonthapot, Sakkarin (56195334700)",57222050471; 56195334700,The influences of travel expenses on the indicator factors of sustainability in gms member countries,2021,Journal of Environmental Management and Tourism,12,1,,233,242,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101143982&doi=10.14505%2fjemt.v12.1%2849%29.20&partnerID=40&md5=cfe882d18cbc313a72819a3ffedeae6a,"The Greater Mekong Subregion (GMS) member countries contain tourism resources that can attract foreign tourists to visit. This is also a good opportunity for national development under the concept of sustainability in three dimensions, i.e., environmental, economic, and social. Data from 1990 to 2019 was used, which were brought for the unit root test. Autoregressive distributed lag (ARDL) was used for finding the cointegration, and the vector error correction model (VECM) and Vector autoregression (VAR) were utilized for finding the short-term relationship. The Granger causality test was based on the travel expenses on the factors of sustainability. The results revealed that the data had different stationarity levels. Similarly, the influences of travel expenses on the dimensions of sustainability of each country were different, too. The long-term relationship was found from the travel expenses on the environmental dimension in Cambodia, Myanmar, and Thailand. The travel expenses were the Granger causality for the environmental dimension in those countries, and had a long-term relationship on the social dimension in Cambodia, Laos, Myanmar, and Thailand. However, this factor only showed the Granger causality on the social dimension in Myanmar. For the economic dimension, travel expenses had a long-term relationship only in Cambodia, and the Granger causality for the economic dimension in Cambodia and Thailand. However, travel expenses did not affect the sustainability in any dimensions in Vietnam, which possibly implied that the influences of travel expenses on sustainability in different indicators depended on the structure, readiness, and the context of each country. © 2021 by ASERS® Publishing. All rights reserved.",
Chan Y.T.; Wong Y.F.,"Chan, Ying Tung (57211095857); Wong, Yat Fung (57207986614)",57211095857; 57207986614,Estimating the tourism-induced province-specific environmental Kuznets curve: Evidence from panel analyses of Chinese provinces,2020,International Journal of Tourism Research,22,6,,751,766,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085477506&doi=10.1002%2fjtr.2370&partnerID=40&md5=bdd0f5a2dbac2ce14c415d5d38d296e4,"This article estimates province-specific tourism-induced environmental Kuznets curve (EKC) in China by using both standard panel data regression and a panel vector error correction model. We validate the EKC hypothesis in the long run but not in the short run, and show that tourism development reduces per capita CO2 inventory. We add to previous research by allowing for heterogeneous impacts of tourism development on CO2 level. Incorporating these heterogeneity effects changes the estimated turning point for EKC significantly. Additionally, it is found that all provinces are still on the increasing part of the EKC, contrasting the existing results. © 2020 John Wiley & Sons Ltd",China; carbon dioxide; environmental economics; error correction; estimation method; Kuznets curve; numerical model; regression analysis; tourism development; tourism economics
Nouri Kouchi A.; Zarra Nezhad M.; Kiani P.,"Nouri Kouchi, Amin (57191883338); Zarra Nezhad, Mansour (54406467900); Kiani, Pouyan (57191882818)",57191883338; 54406467900; 57191882818,A study of the relationship between the growth in the number of Hajj pilgrims and economic growth in Saudi Arabia,2018,Journal of Hospitality and Tourism Management,36,,,103,107,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026755841&doi=10.1016%2fj.jhtm.2016.01.008&partnerID=40&md5=899fbd2692200f34e76d809cc09064be,"In many countries, tourism is one of the most important and ever growing industries in the world which generates jobs and revenues. The sacred places located in some countries provide a particular opportunity to tourism industry to develop toward a sound direction and in a sustainable way. In this respect, Saudi Arabia has a unique situation due to having Mecca and Madinah as well as other sacred and historical sites. However, previous studies have given less attention to the economic aspect of Hajj pilgrimage. To study the Hajj duty from the economic perspective, this study examines the non-oil-based Gross Domestic Product (GDP) growth of Saudi Arabia as a function of the growing number of pilgrims and the investment growth in the Hajj sector. The Vector Error Correction Model (VECM) has been applied to the case of Saudi Arabia to examine the dynamics of the possible relationship between economic growth measured by growth in GDP and the Hajj pilgrimage. All data for the period 1975–2007 are drawn from annual reports of the Central Department of Statistics of the Ministry of Economy and Planning of Saudi Arabia. The findings of the research confirmed the existence of only one bidirectional Granger causal relationship between economic growth and the increasing number of Hajj pilgrims in short-term. Non-oil GDP of Saudi Arabia increases by 0.84 Saudi Arabian Riyal over the long-term in response to a one-digit rise in the number of pilgrims. © 2016 The Authors",
Bella G.,"Bella, Giovanni (55589449200)",55589449200,Estimating the tourism induced environmental Kuznets curve in France,2018,Journal of Sustainable Tourism,26,12,,2043,2052,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057541856&doi=10.1080%2f09669582.2018.1529768&partnerID=40&md5=6c82d74d0acf6a5d8118023fa8c0cdfd,"                             France has retained its position as the world’s favourite tourism destination. Accounting for around 83 million visitors and 4.2% of the total employment, the tourism sector in France contributes to nearly 9% of the total GDP. However, as reported by the World Tourism Organization, road and air travel related to tourism activities account for approximately 10% of the total CO                             2                              emissions in the atmosphere, thereby contributing to severe air pollution. Thus, initiatives are necessary to prevent environmental damage that could have a corresponding detrimental effect on the tourism industry itself and slow down the country’s economic growth. This study utilises a vector error correction model (VECM) to investigate the relationship between polluting emissions, GDP levels, and tourism flows in France to test the validity of the environmental Kuznets curve (EKC) hypothesis for the period 1995–2014. Additionally, based on a joint analysis of long-run parameters and causality links, appropriate policy strategies are proposed to promote robust and sustainable long-run economic growth.                          © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",France; economic growth; emission inventory; environmental economics; estimation method; Gross Domestic Product; Kuznets curve; sustainability; sustainable development; tourism economics; tourist destination
Tang J.; Yuan X.; Ramos V.; Sriboonchitta S.,"Tang, Jiechen (56365295000); Yuan, Xinyu (56365442900); Ramos, Vicente (24303671200); Sriboonchitta, Songsak (25652391600)",56365295000; 56365442900; 24303671200; 25652391600,Does air pollution decrease inbound tourist arrivals? The case of Beijing,2019,Asia Pacific Journal of Tourism Research,24,6,,597,605,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070238588&doi=10.1080%2f10941665.2019.1610004&partnerID=40&md5=375ce308d3525438d2ba5ec824dc57a3,"Tourism industry might be affected by pollution, discouraging current tourism and damaging destination’s image, which compromises future arrivals. This paper quantifies the impact of air pollution on inbound tourism analyzing the case of Beijing city, China. Applying a standard tourism demand function, short-run and long-run impacts are explored in a VECM framework. Results show that air pollution had negative effects on tourist arrivals in the long-run, but not in the short-run. Also, there is a long-run causal relation between air pollution and inbound arrivals from most source countries, while air pollution does not Granger-cause a short-run tourist arrivals decrease. © 2019, © 2019 Asia Pacific Tourism Association.",Beijing [China]; China; air quality; atmospheric pollution; Granger causality test; image analysis; numerical model; tourist attraction; tourist destination
Kaur T.P.; Kansra P.,"Kaur, Tushinder Preet (56966338900); Kansra, Pooja (57188982506)",56966338900; 57188982506,Tourism led economic growth in India: An application of vector error correction model,2018,International Journal of Business and Globalisation,21,4,,517,530,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055789108&doi=10.1504%2fIJBG.2018.095771&partnerID=40&md5=f7835e399d380d7bf0c21a8616961f14,"Tourism promotes economic growth in a significant manner. The importance of tourism to economic growth has been widely recognised due to its contribution to employment, balance of payment, gross domestic product (GDP), etc. In the present paper an effort has been made to examine the link between the economic growth, investment and net exports from tourism sector by employing the technique of co-integration and VECM. The resulting co-integrating vectors indicate that there exists a long run relationship between GDP, investment in tourism sector, net exports from tourism and employment generation. Thus, it is one of the important factors affecting the economic growth in India with significant multiplier effect. © 2018 Inderscience Enterprises Ltd.",
Mehra Y.S.; Kumar P.; Bansal M.,"Mehra, Yogieta S (57190696077); Kumar, Pradumn (57206834676); Bansal, Monika (58390583900)",57190696077; 57206834676; 58390583900,Tourism Sector: Identification of Variables to Boost Tourism in the Long Run,2021,Review of International Geographical Education Online,11,5,,2887,2897,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117241492&doi=10.48047%2frigeo.11.05.184&partnerID=40&md5=f8286880ab0efed258e995c54a37236f,"Tourism sector has emerged as one which has immense impact on the economy of India as well as most of the other countries of the world. The last decade has witnessed a sharp rise in the number of foreign tourists visiting India. The increase in foreign tourist positively affected the growth of output of service sector in India. The present study analyses the status of tourism industry in India and its impact on the output of service sector in India. The study uses quarterly time series data of output of services sector, number of foreign tourists visiting India, foreign exchange earnings, government expenditure on tourism and private consumption expenditure from the year 2004 to 2018 to build a Vector Error Correction Model to identify the indicators having short run as well long run impact on service sector output in India, foreign tourist arrivals and foreign exchange earnings. © 2021. RIGEO. All Rights Reserved.",
Herlitah; Prijadi R.; Sobari N.; Fatwa N.; Fawaiq M.; Ahmad A.A.,"Herlitah (57203870577); Prijadi, Ruslan (57191997677); Sobari, Nurdin (57203187841); Fatwa, Nur (57215004999); Fawaiq, Muhammad (57207841228); Ahmad, Azlin Alisa (55212579400)",57203870577; 57191997677; 57203187841; 57215004999; 57207841228; 55212579400,Agricultural Sector FDI as a Driver of Tourism Sector FDI for a Sustainable Economy,2023,International Journal of Membrane Science and Technology,10,2,,471,481,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165673979&doi=10.15379%2fijmst.v10i2.1259&partnerID=40&md5=9a272ff4629cd726e7bf788411bb8f58,This study aims to see whether FDI (Foreign Direct Investment) from the Agricultural Sector can be able to encourage FDI from the Tourism sector in Sumatra Island in the short and long term are supporting the Sustainable Economy in the future. The first analytical method used in this research is the descriptive method and the second method is the panel data regression method with the Vector Error Correction Model (VECM) in 8 regions on the island of Sumatera-Indonesia for 20 years. FDI from the Agricultural Sector is expected to be able to encourage the growth or increase of FDI in the Tourism sector; because several developed countries have changed or developed other service sectors to lead a Sustainable Economy. And the results of this study prove that in the long term and short term FDI in the agricultural sector and FDI in the Tourism services sector influence Gross Domestic Product Regional (GDPR). © 2023 International Journal of Membrane Science and Technology. All rights reserved.,
Dritsakis N.; Gialetaki K.,"Dritsakis, Nikolaos (6602431811); Gialetaki, Katerina (56377431500)",6602431811; 56377431500,Seasonal tourism demand models from USA to Greece,2004,Tourism Recreation Research,29,3,,7,13,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979895456&doi=10.1080%2f02508281.2004.11081452&partnerID=40&md5=e7e892f3227daf1f53aed0ae58ad7263,"Tourists from USA, which is Greece’s third major market after the European Union and Japan, represent 6% of international tourist arrivals in Greece in 2002. The average annual growth rate of tourist arrivals from USA was 20% for the period 1960-2000. Despite the political, economic and military crises, which dominated in the examined period, tourist arrivals to Greece from USA have continued to grow slowly. Therefore, it is essential to consider the economic factors influencing this tourism demand. The purpose of the paper is to estimate the elasticities among origin country’s income, consumer price indices of both countries and transportation cost of inbound tourism from USA to Greece, exchange rate, and prices of goods and services of a competitive country using seasonally unadjusted quarterly data. Given Turkey’s proximity to Greece, it is also useful to determine whether Greece and Turkey are substitute or complementary destinations using tourism demand models. In addition, vector error correction models (VECM) are examined in order to illustrate the seasonal effect of tourism demand in USA for Greece. © 2004 Tourism Recreation Research.",
Bhavan T.,"Bhavan, Thangamani (57193626633)",57193626633,DOES INBOUND TOURISM ENCOURAGE TRADE DEFICIT IN SRI LANKA?,2019,Asian Development Policy Review,7,4,,253,260,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151133240&doi=10.18488%2fjournal.107.2019.74.253.260&partnerID=40&md5=cc7a3493498860b824ae5b04e9ffa7b0,"The purpose of this paper is to investigate whether tourism encourages imports and subsequently leading to a trade deficit, as the nexus between trade and tourism has been controversial. Annual time-series data, running from 1970 to 2017, are employed for the empirical analysis. The Augmented Dickey-Fuller (ADF) unit root analysis is used to test the stationary properties of the time series variables. The time series properties of the variables allowed employing the Johansen’s maximum likelihood estimator of the parameters of a cointegrating Vector Error Correction Model (VECM) analysis to inspect the long-run and the short-run dynamic relationship. The bilateral causality relationships between variables are tested by using the Granger Causality analysis. The results suggest the existence of a long-run relationship between tourism-related variables. Further, the results also confirm the causality running from inbound tourism to imports of goods and services, but not from import to tourism. However, there is no short-run dynamic relationship found to have between the variables. © 2019 AESS Publications. All Rights Reserved.",
Chan F.; Lim C.,"Chan, F. (7202586446); Lim, C. (7403654356)",7202586446; 7403654356,Tourism stock performance and macro factors,2011,MODSIM 2011 - 19th International Congress on Modelling and Simulation - Sustaining Our Future: Understanding and Living with Uncertainty,,,,1596,1602,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858811462&partnerID=40&md5=e1fafd00e140e2eed7103b780f8b78d9,"Tourism has played a significant role in the global economy in terms of the production of goods and services, income and employment generation prior to the recent global recession. In 2007, the world's travel and tourism industry contributed (directly and indirectly) US$5,390 billion (or 10.4%) to global Gross Domestic Product, and the industry generated more than 231 million jobs or 8.3% of total world employment (World Travel & Tourism Council 2008). The real average annual growth of world tourism has exceeded the global economic growth during the period 2004-2007. In 2008-2009, the challenging economic environment and stock market volatility have a negative impact on tourism in wealth generation, job creation and economic diversification for many economies worldwide. Tourism is arguably the largest industry in NZ. In 2007, the tourism industry contributed 9.1% (NZ$14.1 billion) to the country's gross domestic product and generated about 10% of full-time employment (Statistics New Zealand, 2008). The ""100% Pure"" branding has been a very successful marketing campaign, especially for adventure tourism. The global recession and swine flu have adversely affected international visitor arrivals to New Zealand. Furthermore, the Ministry of Tourism has revised down tourist arrival growth forecast from 4.0 percent per annum to 2.5 percent per annum for the next seven years. The purpose of this paper is to examine the relationship between hospitality-tourism stock prices and macroeconomic factors in New Zealand using cointegration analysis and Vector Error Correction Model (VECM). The former establishes the long run realtionships between stock prices and macroeconomic factors and the latter identifies the short run dynamics between prices and macroeconomic varaibles. Interestingly, the specification of VECM in this context is also closely related to empirical models implied by the Asset Pricing Theory (APT). Therefore, the results from this paper also provide valuable insight into the pricing of firms where the main values come from the service that they provide rather than their physical assets. The results provided empirical evidence on the existence of relationships between the stock returns of tourism companies and macro-economic variables. This should provide invaluable insight for governmental policy makers when designing monetary and fiscal policies as well as executives from these individual firms to forecast the stock returns of their companies.",Costs; Economic and social effects; Employment; Factor analysis; Industry; Investments; Arbitrage pricing theories; Asset pricing; Average annual growth; Co-integration; Cointegration analysis; Economic diversification; Economic environment; Empirical evidence; Empirical model; Fiscal policies; Full-time employment; Global economic growth; Global economies; Global recession; Governmental policies; Gross domestic products; Growth forecast; Job creation; Marketing campaign; New zealand; Physical assets; Statistics New Zealand; Stock market volatility; Stock performance; Stock price; Stock returns; Tourism industry; Tourism stocks; Travel and tourism; Vector error correction model; Economics
Arslanturk Y.; Balcilar M.; Ozdemir Z.A.,"Arslanturk, Yalcin (36135405700); Balcilar, Mehmet (55921038200); Ozdemir, Zeynel Abidin (15770313900)",36135405700; 55921038200; 15770313900,Time-varying linkages between tourism receipts and economic growth in a small open economy,2011,Economic Modelling,28,01-Feb,,664,671,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650255243&doi=10.1016%2fj.econmod.2010.06.003&partnerID=40&md5=aaf5087568fea12f34354ed7713dd368,"The causal link between tourism receipts and GDP has recently become the major focus of some recent studies in tourism economics. Results obtained in these studies about the causal link appear to be sensitive with respect to the countries analyzed, sample period and methodology employed. Considering the sensitivity of the causal link, we use the rolling window and time-varying coefficients estimation methods to analyze the Granger causality based on Vector Error Correction Model (VECM). When applied to Turkey for the 1963-2006 periods, this methodology enables us to overcome differences in the outcome of the tests performed in other studies for tourism receipts and GDP. The findings of this paper are as follows: results from the full sample within the VECM model indicate that there is no Granger causality between the series, while the findings from the time-varying coefficients model based on the state-space model and rolling window technique show that GDP has no predictive power for tourism receipts; however, tourism receipts have a positive-predictive content for GDP following early 1980s. © 2010 Elsevier B.V.",
Chulaphan W.; Fidel J.; Caceres B.,"Chulaphan, Wanvilai (55243356400); Fidel, Jorge (58515264400); Caceres, Barahona (58515037300)",55243356400; 58515264400; 58515037300,AN EMPIRICAL ANALYSIS OF THE CAUSAL RELATIONSHIP BETWEEN TOURISM GROWTH AND THE SERVICE INDUSTRY IN THAILAND,2023,"Humanities, Arts and Social Sciences Studies",23,2,,297,307,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166335728&doi=10.14456%2fhasss.2023.27&partnerID=40&md5=fce5a3da1e5f10e1255283a295da0d19,"The relationship between economic growth and tourism development has been a central issue for researchers validating the tourism-led growth hypothesis. Much of this literature revolves around using aggregate measures of economic growth and tourism arrivals to test the tourism-led growth hypothesis. However, this paper aims to investigate the causality between growth in tourism and the expansion of services in Thailand. It is posited that evaluating the causal relationship between tourism and the development of the service sector is relevant since the service sector is a primary driver for economic growth and recovery. For this purpose, a Granger causality test was performed based on Toda-Yamamoto and a vector error correction model (VECM) using aggregated and disaggregated service production index (SPI) and international tourist arrivals. The findings show that causality runs from the development of the production of services as a whole to tourism growth. In turn, the hotel industry benefits from expanding international tourist arrivals. Evidence was also found of bidirectional causality between tourism growth and indices reflecting the production of real estate, transportation, and telecommunications. The findings suggest that the contribution of tourism growth to the production of services may depend on how integrated tourism is with the service sector. Therefore, it is necessary that strategic partnerships between tourism authorities and private stakeholders (i.e., telecommunications firms) be created and strengthened. © Silpakorn University. All Rights Reserved.",
Balcilar M.; van Eyden R.; Inglesi-Lotz R.; Gupta R.,"Balcilar, Mehmet (55921038200); van Eyden, Reneé (6506114390); Inglesi-Lotz, Roula (37097338500); Gupta, Rangan (18037301200)",55921038200; 6506114390; 37097338500; 18037301200,Time-varying linkages between tourism receipts and economic growth in South Africa,2014,Applied Economics,46,36,,4381,4398,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918830959&doi=10.1080%2f00036846.2014.957445&partnerID=40&md5=a3390334488ff1e1547a5e76d7ad192c,"The causal link between tourism receipts and GDP has recently become a major focus in the tourism economics literature. Results obtained in recent studies about the causal link appear to be sensitive with respect to the countries analysed, sample period and methodology employed. Considering the sensitivity of the causal link, we use rolling window and time-varying coefficient estimation methods to analyse the parameter stability and Granger causality based on a vector error correction model (VECM). When applied to South Africa for the period 1960–2011, the findings are as follows: results from the full-sample VECM indicate that there is no Granger causality between tourism receipts and GDP, while the findings from the time-varying coefficients model based on the state-space representation show that tourism receipts have positive-predictive content for GDP for the entire period, with the exception of the period between 1985 and 1990. Full-sample time-varying causality tests show bidirectional strong causality between tourism receipts and GDP. © 2014, © 2014 Taylor & Francis.",South Africa; economic growth; error correction; Granger causality test; Gross Domestic Product; modeling; tourism economics
